c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
15.866,0.299,15.866,36610.0,3.981534,11.562,0.102,6.565371,111.443,4.0,1.0,51.562993306361136,15.968,51.553,4.0,0.013,0.018,0.009,-0.015416975338578224,Normal
0.774,0.104,0.774,36666.0,9.334022,27.823,0.087,16.011655,90.783,4.0,1.0,29.763,0.861,29.763,4.0,0.01,0.02299998766928911,0.006,-0.016393975338578226,Normal
31.694,0.16,31.694,35966.0,3.096563,9.037,0.107,5.144517,256.879,4.0,1.0,36.064,31.801,36.064,4.0,0.010666,0.014,-0.023997732490301134,0.004163,Normal
82.592,0.107,82.592,36390.02586609777,12.049931956712127,35.901,0.094,20.672604,168.783,4.0,1.0,103.259,82.688,103.259,4.0,0.0003330123307108881,0.052999950677156446,0.008,0.002517,Normal
70.331,0.124,70.331,36308.0,4.887504,14.473,0.079,8.301158,191.286,4.0,1.0,98.231,70.41,98.231,4.0,0.009,0.013,-0.016999703392386437,-0.004707851696193218,Normal
20.802,0.104,20.802,36486.0,14.134529,42.227,0.087,24.328386,151.66099993622302,5.0,2.0,34.709,20.889,34.709,5.0,0.013666,0.022,-0.023999999329447748,-0.0019789997764825817,Normal
129.68299992504717,0.147,129.663,35804.02378543094,10.923303,32.559,0.081,18.736765,290.054,4.0,1.0,133.692,129.744,133.692,4.0,0.011333,0.04599999932944775,-0.002999999776482582,0.004509,Normal
25.113,0.974,25.113,36602.0,12.79024,37.352,0.073,21.275227,127.531,4.0,1.0,44.201,25.186,44.201,4.0,0.015,0.027,0.007,-0.009416722018837928,Normal
81.13,0.137,81.13,36346.0,13.762541,40.741,0.126,23.334102042580067,198.469,5.0,2.0,92.935,81.552,92.935,5.0,0.007666,0.011,0.005,-0.016944999552965162,Normal
42.014,0.107,42.014,36750.01985919662,6.359121,18.9,0.081,10.860539,84.5,4.0,1.0,62.053,42.095,62.053,4.0,0.009666,0.043999963007867335,0.005,0.004509,Normal
146.161,0.15,146.161,36236.0,6.759108647513032,20.016,0.071,11.49797,229.795,4.0,1.0,194.428,146.232,194.428,4.0,0.013,0.019,0.006,-0.023442555088579654,Normal
121.149,0.122,121.149,36522.0,1.288957,3.67,0.09,2.062024,153.517,4.0,1.0,142.263,121.239,142.263,4.0,0.009666,0.015,0.007,-0.015380999552965164,Normal
